reward_code,subj_id,condition,trial,epoch_trial,epoch_number,button_press,LR_solution,LR,reward,p_accuracy,rt,trial_end,iti_length,iti_end,stim_onset,session_n,run_n
8.0,813.0,8530.0,37.0,7.0,1.0,326.1107211112976,76.0,82.0,0.0,0.0,0.4923830032348633,327.1181290149689,6.198782992999998,333.3169120079689,325.61833405494684,2,1
8.0,813.0,8530.0,38.0,8.0,1.0,333.86633801460266,82.0,76.0,0.0,0.0,0.514441967010498,334.8503041267395,6.8236166030000005,341.6739207297395,333.3518691062927,2,1
8.0,813.0,8530.0,39.0,9.0,1.0,342.37498998641973,76.0,82.0,0.0,0.0,0.675605058670044,343.1983180046081,7.023105083000001,350.2214230876081,341.6993780136108,2,1
8.0,813.0,8530.0,40.0,10.0,1.0,350.86465501785284,82.0,76.0,0.0,0.0,0.616192102432251,351.7475202083588,7.974849629999999,359.7223698383588,350.2484600543975,2,1
8.0,813.0,8530.0,41.0,11.0,1.0,360.38639020919805,82.0,82.0,0.0,1.0,0.6384789943695068,361.24558711051935,8.33580511,369.5813922205194,359.74789118766785,2,1
8.0,813.0,8530.0,42.0,12.0,1.0,370.2361531257629,76.0,82.0,0.0,0.0,0.623739004135132,371.1113891601562,6.763984022000001,377.8753731821562,369.612410068512,2,1
8.0,813.0,8530.0,44.0,14.0,1.0,388.6112082004547,82.0,82.0,3.0,1.0,0.6845200061798095,389.4246230125427,7.718719605,397.1433426175427,387.9266791343689,2,1
8.0,813.0,8530.0,46.0,16.0,1.0,407.937518119812,76.0,82.0,3.0,0.0,0.5968899726867676,408.83826518058777,7.401030339,416.23929551958776,407.3406181335449,2,1
8.0,813.0,8530.0,47.0,17.0,1.0,416.8162550926208,76.0,82.0,0.0,0.0,0.5436441898345947,417.77068400383,9.623171909,427.39385591283,416.27260017395014,2,1
8.0,813.0,8530.0,48.0,18.0,1.0,428.0927021503448,82.0,82.0,2.0,1.0,0.6712770462036133,428.91925001144415,6.273675208999999,435.1929252204441,427.42141413688654,2,1
8.0,813.0,8530.0,50.0,20.0,1.0,445.7890272140503,76.0,76.0,3.0,1.0,0.6879401206970216,446.6000092029572,6.532901352999999,453.1329105559572,445.1010780334473,2,1
8.0,813.0,8530.0,51.0,21.0,1.0,453.6108992099762,76.0,76.0,3.0,1.0,0.443073034286499,454.66528820991516,6.161457564,460.82674577391515,453.1678240299225,2,1
8.0,813.0,8530.0,52.0,22.0,1.0,461.3736882209778,82.0,76.0,0.0,0.0,0.5092120170593261,462.34725618362427,7.6808590479999985,470.02811523162427,460.8644700050354,2,1
8.0,813.0,8530.0,53.0,23.0,1.0,470.70432114601147,82.0,76.0,0.0,0.0,0.6397590637207031,471.5624611377716,8.778043002999999,480.3405041407716,470.06455612182623,2,1
8.0,813.0,8530.0,54.0,24.0,1.0,480.99075412750244,76.0,76.0,4.0,1.0,0.6279189586639404,481.8613750934601,6.6360624810000015,488.4974375744601,480.3628242015839,2,1
