Pu,Ca,NAC,EXA,GPe,GPi,SNc,RN,SNr,PBP,VTA,VeP,HN,HTH,MN,STH,sample_n,tr
0.019283917,1.1274518,-0.33084422,0.15177415,2.90438,1.5425214,0.9679055,-0.5313691,0.41823357,-1.102568,-0.20791006,-1.0537031,0.2664324,1.113502,0.22029406,-0.2857626,10,7.5
-0.43953186,0.10252513,0.12864901,0.640257,0.97310776,1.3257729,0.53221065,-0.1657252,0.9528311,0.09528289,0.5308121,-0.94982,-1.5219936,1.6457299,0.28980497,-0.3966866,11,8.25
-0.64635116,-0.08805426,-0.48185742,0.17650525,1.6467068,0.5727057,-0.030716531,0.021390695,1.8622113,-1.5527214,-0.7897956,-0.7649262,0.690718,1.6910013,0.28191003,1.2802749,12,9.0
0.14445259,0.7708285,-0.90439326,-0.6910074,1.583968,0.30750617,1.2136029,-1.077148,1.4390179,0.18723635,-0.0061453898,-1.3154662,0.96828276,2.3508174,-0.38032195,1.1355735,13,9.75
0.550394,1.314738,-0.22365762,-0.044579584,2.2100616,1.9293206,2.0423844,0.96919346,1.3625848,0.23085356,-0.10685552,-0.61567324,-0.007736835,1.8930465,-0.0043477025,-0.4731119,14,10.5
0.0057933345,0.76725715,-0.052130844,1.9946939,1.2082273,0.7843288,0.7194462,-0.08016242,0.1721345,-0.6010269,-0.07573574,-1.3701589,-0.27472743,1.8306609,-1.122288,-0.7845928,15,11.25
0.04185888,1.0059336,-0.124979146,0.95861214,0.29299617,0.63632303,2.403129,-1.6800916,1.2073643,1.1864674,0.052020565,-0.28647998,0.47095466,1.1387013,-1.7009248,2.0160627,16,12.0
-0.26249516,1.1876543,-0.0943264,1.6316477,1.4475175,1.7870096,0.8992118,-0.67936534,-0.1359522,-0.34799042,-1.2569529,-0.61355424,-1.0818235,0.17986019,-0.23180945,-0.74387145,17,12.75
-0.24541435,1.0209147,0.4213753,1.8741556,1.1889575,0.6574838,-0.9955462,-1.106626,0.6618184,0.71789724,0.8839406,-1.753144,-0.14383692,1.6235873,1.8588756,0.86622405,18,13.5
-1.366411,-0.23239183,-0.58948314,-1.1309823,1.4055654,0.15776195,1.4415009,0.6901397,2.1988463,1.1972837,0.079438046,0.27605492,1.1112049,1.8468595,-0.6200891,-0.19010395,19,14.25
-0.99552876,0.06263749,-0.6648878,-1.375176,0.6215435,0.2114133,0.5082665,0.5475965,-0.061073348,-1.4722025,0.63234556,-1.3064525,1.0150449,1.7235956,-0.96799946,1.4399054,20,15.0
-0.11687304,-0.18735592,-0.22420654,-1.575633,0.013649514,1.9741749,0.569302,0.060773812,0.20305973,-2.2047844,1.7624462,-1.181495,1.1021812,1.0268328,-0.19395147,0.26770976,21,15.75
-1.2170898,-0.31402233,-0.8985513,-1.0593019,0.13932763,0.735548,-0.1805747,-3.0019417,0.042902198,0.98874927,-1.1469439,-0.73512435,-1.7335782,0.56765336,-1.9657265,-1.1253173,22,16.5
-0.11426196,-0.018946625,-1.1470432,0.02261583,-0.8765798,0.4703785,-0.22796075,-0.41198164,0.04667357,-0.10165247,-0.51759034,-0.53570276,0.3729108,0.4224158,-0.9090517,-0.51127535,23,17.25
0.23638436,0.92244786,-1.4459957,0.697226,1.237712,0.06818817,0.86352235,-0.13479826,-0.3096638,-0.16058391,-1.5227867,-0.41102758,-0.5113056,0.6280669,-0.26817632,-0.30063444,24,18.0
1.0668439,1.3136714,-1.7750363,1.3533871,1.6502306,1.0746156,0.6887924,2.8157215,0.57688254,0.72050065,-0.1461279,-1.6094865,-0.13199134,1.3444651,0.14795268,1.3631113,25,18.75
-0.20924,0.90806973,-1.1767863,0.54597664,1.4075726,1.401799,0.3774702,0.4752317,1.2852603,1.4571719,-0.03175477,-0.8296149,1.2043493,1.9416984,-1.0695453,-0.099479094,26,19.5
-0.43504405,1.2478567,-0.72802824,0.15813586,1.6705711,0.90640813,0.47919604,0.06288127,1.0303384,-0.2581866,0.35972056,-2.3799694,0.35930544,1.7298214,-1.3242024,0.47176737,27,20.25
-0.30269492,1.1017103,-1.2940023,0.49392205,0.29495886,0.020396505,-0.5451347,0.8648216,-0.7354173,-0.31153688,1.2840528,-1.9189665,-0.06468552,0.07123134,-1.1333796,0.9156274,28,21.0
0.27005643,0.66220427,-0.95489305,-0.55962247,0.52242845,1.0318143,0.84317714,-0.8247536,-0.61612767,1.0051808,1.0848927,-0.16647206,-0.8880383,0.04907455,0.15805022,-0.72664666,29,21.75
-0.83856475,-0.3333168,-0.74843204,-0.3639049,-0.61799735,1.2315233,-1.3647794,-0.7294438,-0.29560688,-0.09932698,0.87881225,-1.7368144,-0.68757826,1.0492995,0.6819615,-0.75902206,30,22.5
-1.6912729,0.1796103,-1.2396445,-0.69266146,0.5296547,0.7628982,0.7786683,0.5176443,-0.8873464,-0.24920227,-0.4374904,-0.81074846,0.75100017,1.703594,0.19234529,-0.95456153,31,23.25
-1.1400086,-0.18953583,-1.147004,-0.4114745,0.38484046,0.31035358,-0.21394162,-0.9650839,2.2373142,-1.5648594,2.5559816,-1.5370756,0.2050959,1.5983456,-0.9670577,0.20213915,32,24.0
