Pu,Ca,NAC,sample_n,tr,pooled_striatum
1.1779509,0.66113746,-0.89443445,130,97.5,0.94465387
0.8810492,1.3482251,-1.5824628,131,98.25,0.6468115
1.6712003,1.5437208,-1.1643496,132,99.0,2.0505714
0.9962087,1.278329,-0.62706786,133,99.75,1.64747
0.27595857,0.601909,-0.8344307,134,100.5,0.043436885
0.475815,0.8660022,-0.24134824,135,101.25,1.1004689
0.54568857,0.45942667,-0.86798483,136,102.0,0.13713044
-0.13697292,0.54189205,-1.3871447,137,102.75,-0.98222554
0.26866928,0.32102585,-1.2229105,138,103.5,-0.6332154
1.4702287,0.17381267,-1.4187305,139,104.25,0.2253108
1.2259294,0.02395577,-0.83288586,140,105.0,0.41699934
0.0065820985,-0.4018215,-0.79539526,141,105.75,-1.1906346
0.39612263,0.6561747,0.27655694,142,106.5,1.3288543
1.3764201,1.0696146,0.04365409,143,107.25,2.489689
0.22778957,0.44115257,-0.13661605,144,108.0,0.5323261
0.31120813,0.28373557,-0.56083,145,108.75,0.034113705
0.9973783,0.13443524,0.47967747,146,109.5,1.611491
0.79216367,0.70478195,0.5940626,147,110.25,2.0910082
0.6519541,0.48094743,-0.8309098,148,111.0,0.30199176
0.732544,0.5167999,-1.0273494,149,111.75,0.22199452
1.0410051,0.49597487,-0.0150401555,150,112.5,1.5219399
1.9067959,0.39862123,-0.43982655,151,113.25,1.8655906
1.8467138,0.7559402,-0.5294323,152,114.0,2.0732217
2.6258764,2.409468,-0.1079786,153,114.75,4.9273653
2.461188,2.6548233,-0.29230285,154,115.5,4.8237085
2.6477442,2.3580315,-1.08355,155,116.25,3.9222255
1.5046623,2.1656432,0.16908021,156,117.0,3.8393857
1.7611465,2.1400409,-0.96136236,157,117.75,2.939825
1.205748,1.6781329,-0.5951605,158,118.5,2.2887204
0.75117517,2.1173143,-0.842484,159,119.25,2.0260055
0.4360232,1.8338802,-0.26782143,160,120.0,2.0020819
-0.15457052,1.5019317,-1.0859181,161,120.75,0.26144302
-0.90732324,-0.11639304,-0.9285846,162,121.5,-1.9523009
-1.1118306,-0.41977093,-1.2703364,163,122.25,-2.801938
-0.6199412,-0.58052737,-1.3990717,164,123.0,-2.5995402
-1.1096276,-0.8579783,-0.5557173,165,123.75,-2.523323
-1.3894483,-1.5624588,-0.34382203,166,124.5,-3.2957292
-0.9340596,-0.42612514,-1.1850513,167,125.25,-2.545236
-0.24598552,-0.18573257,-0.29449064,168,126.0,-0.72620875
-0.54082,-0.6707847,-0.18997018,169,126.75,-1.4015749
-0.3620426,0.27566528,-0.07300514,170,127.5,-0.15938246
0.26975724,0.50701356,0.030754687,171,128.25,0.8075255
0.52297765,0.6095155,-0.32376328,172,129.0,0.8087299
0.5754168,0.506828,-0.202948,173,129.75,0.8792969
0.4103204,1.1294925,-0.3729143,174,130.5,1.1668986
-0.23431726,0.6006103,-0.2574078,175,131.25,0.10888526
-0.67080283,-0.024234055,-0.9534424,176,132.0,-1.6484792
-0.57043946,-0.27329984,-0.03343651,177,132.75,-0.8771758
0.0040526143,-0.4059494,0.17265597,178,133.5,-0.22924083
-1.1018759,-1.9590161,0.16717471,179,134.25,-2.8937173
-1.0194637,-1.1370062,-0.31019732,180,135.0,-2.4666672
-0.23380049,-0.37343636,0.1703976,181,135.75,-0.43683928
0.5957887,-0.5507508,-1.2492112,182,136.5,-1.2041733
-0.56829077,0.2987166,-0.5791009,183,137.25,-0.8486751
0.03233932,0.091532834,0.5933726,184,138.0,0.71724474
0.56198066,0.76405686,0.65018487,185,138.75,1.9762224
0.90109473,0.42338866,0.29832518,186,139.5,1.6228086
1.5648259,1.6560092,0.40205362,187,140.25,3.6228888
-0.12875889,0.7628973,-0.7807707,188,141.0,-0.14663231
-0.5785447,0.5638302,-0.750416,189,141.75,-0.76513046
-1.1273884,-0.18615001,-0.7863226,190,142.5,-2.099861
-0.6847286,-0.93000793,0.05296205,191,143.25,-1.5617745
-2.2867625,-1.4657081,-0.5881971,192,144.0,-4.3406677
-1.3443528,-1.5035086,-0.63225114,193,144.75,-3.4801126
-0.21914035,-1.4209505,0.4217517,194,145.5,-1.2183392
-0.24176972,-0.6963406,0.63174146,195,146.25,-0.3063689
-0.5694331,-0.62166727,-0.5935137,196,147.0,-1.7846141
0.8689458,0.52510214,0.17293827,197,147.75,1.5669862
1.6866491,0.6206469,-0.36513546,198,148.5,1.9421606
1.1842065,0.6121592,0.20510444,199,149.25,2.00147
0.414917,0.7383154,0.18076417,200,150.0,1.3339965
2.03667,0.50274646,-0.04601441,201,150.75,2.493402
1.3072537,0.73534703,-0.17398904,202,151.5,1.8686116
-0.3035653,0.0026205247,0.18355577,203,152.25,-0.11738901
0.36299455,0.12891589,-0.33558837,204,153.0,0.15632209
