cpp,b_t0,b_t1,MC,H,signed_B_diff,ideal_B,lambda_val,p_optimal,trial,subj_id,reward_code,condition,run_n,LR_choice,value_accuracy,value_LR_solution,reward,cumulative_reward,rt,total_trial_time,iti,cp_list,obs_cp_list,high_val_cue,high_p_cue,p_accuracy,p_LR_solution,p_id_solution,id_choice,stim_duration,stim_onset,stim_offset,abs_response_time,epoch_length,epoch_trial,epoch_number,shifted_epoch_trial_run,shifted_epoch_trial
0.04588741835752858,1.6582848862092283,0.3471390597301807,0.6744097254274092,0.06666666666666668,-1.177120313541176,1.3111458264790476,20.0,0.85,2,860,7,8520,5,82.0,1.0,82.0,2.0,35.0,0.538161039352417,1.5009291172027586,5.063786386474874,0.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.4975600242614746,13.99968695640564,15.497246980667114,14.537851095199583,25.0,12.0,12.0,12.0,12.0
0.0660500349046082,1.8173207627519967,0.4000408720043957,0.7350242885037558,0.06666666666666668,-1.3111458264790476,1.4172798907476012,20.0,0.85,3,860,7,8520,5,82.0,1.0,82.0,2.0,37.0,0.5389399528503418,1.5005290508270264,5.251226565530929,0.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.5006649494171143,20.573605060577393,22.074270009994503,21.11255407333374,25.0,13.0,12.0,13.0,13.0
0.12716603315804526,2.181442895138284,0.4726932108021477,0.7361187669560968,0.06666666666666668,-1.4172798907476012,1.7087496843361358,20.0,0.85,4,860,7,8520,5,76.0,1.0,76.0,0.0,37.0,0.4923419952392577,1.5005881786346433,11.870623061647407,0.0,0.0,102.0,102.0,1.0,76.0,102.0,102.0,1.5005738735198975,27.33917307853699,28.839746952056885,27.83152604103088,25.0,14.0,12.0,14.0,14.0
0.1524339422625241,1.5307971999922456,0.6033317400207667,0.6423753319404675,0.06666666666666668,-1.7087496843361358,0.9274654599714788,20.0,0.85,5,860,7,8520,5,76.0,1.0,76.0,3.0,40.0,0.42546296119689936,1.5003318786621092,7.610921468492162,0.0,0.0,102.0,102.0,1.0,76.0,102.0,102.0,1.4981420040130615,40.72987699508666,42.228018999099724,41.15534710884095,25.0,15.0,12.0,15.0,15.0
0.04626944953186029,2.4687785191093723,0.7400144177910792,0.5946819322599424,0.06666666666666668,-0.9274654599714788,1.7287641013182933,20.0,0.85,6,860,7,8520,5,82.0,1.0,82.0,2.0,42.0,0.4900469779968262,1.5012128353118896,5.804679528785972,0.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.5002901554107668,49.852916955947876,51.35320711135865,50.34295392036438,25.0,16.0,12.0,16.0,16.0
0.0914838991146638,2.5588577874331726,0.7751785323320364,0.6975886332503693,0.06666666666666668,-1.7287641013182933,1.7836792551011362,20.0,0.85,7,860,7,8520,5,82.0,1.0,82.0,4.0,46.0,0.6521890163421631,1.5002009868621826,4.429035215134538,0.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.498047113418579,57.17764496803284,58.675692081451416,57.829840898513794,25.0,17.0,12.0,17.0,17.0
0.04623158697020905,3.1213932926963635,0.8414880263563149,0.6841554740728784,0.06666666666666668,-1.7836792551011362,2.2799052663400485,20.0,0.85,8,860,7,8520,5,82.0,1.0,82.0,3.0,49.0,0.5960981845855713,1.5003299713134766,7.466639005815479,0.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.5003600120544431,63.11732792854309,64.61768794059753,63.713433027267456,25.0,18.0,12.0,18.0,18.0
0.0414017641646794,3.291620841556637,0.8719320799367469,0.7394111424701686,0.06666666666666668,-2.2799052663400485,2.4196887616198897,20.0,0.85,9,860,7,8520,5,76.0,1.0,76.0,3.0,52.0,0.4830770492553711,1.5010058879852295,5.234163293576913,0.0,0.0,102.0,102.0,1.0,76.0,102.0,102.0,1.499393939971924,72.10027694702147,73.59967088699341,72.5833580493927,25.0,19.0,12.0,19.0,19.0
0.09315736482634628,3.327276852359963,0.8979351998426064,0.7742772109610117,0.06666666666666668,-2.4196887616198897,2.429341652517357,20.0,0.85,10,860,7,8520,5,82.0,1.0,82.0,4.0,56.0,0.5481228828430176,1.50040602684021,4.000679716075372,0.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.4992878437042239,78.84907507896422,80.34836292266844,79.39720606803894,25.0,20.0,12.0,20.0,20.0
0.043189532631641936,3.780165741495906,0.95402197007997,0.7067420910513753,0.06666666666666668,-2.429341652517357,2.8261437714159365,20.0,0.85,11,860,7,8520,5,76.0,1.0,76.0,4.0,60.0,0.5006361007690429,1.5012590885162351,4.299406064967564,0.0,0.0,102.0,102.0,1.0,76.0,102.0,102.0,1.5001170635223389,84.36442399024962,85.86454105377197,84.86506199836731,25.0,21.0,12.0,21.0,21.0
0.090482927306445,3.8698140662108895,0.9776025060193608,0.7545096294816587,0.06666666666666668,-2.8261437714159365,2.8922115601915297,20.0,0.85,12,860,7,8520,5,82.0,1.0,82.0,2.0,62.0,0.4900791645050049,1.50044584274292,6.291923931957772,0.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.4997420310974119,90.18060898780823,91.68035101890565,90.67069411277771,25.0,22.0,12.0,-3.0,-3.0
0.04393770206808138,3.3988343703542165,1.02487056049228,0.7045606091832721,0.06666666666666668,-2.8922115601915297,2.3739638098619364,20.0,0.85,13,860,7,8520,5,82.0,1.0,82.0,3.0,65.0,0.5191609859466554,1.5003812313079834,4.078471501959839,0.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.4995739459991455,97.98724007606505,99.4868140220642,98.50640511512756,25.0,23.0,12.0,-2.0,-2.0
0.05202882781718229,3.513531247367633,1.0457466562491446,0.7524617867849845,0.06666666666666668,-2.3739638098619364,2.4677845911184884,20.0,0.85,14,860,7,8520,5,76.0,1.0,76.0,2.0,67.0,0.5960800647735596,1.5003650188446045,8.350181090976715,0.0,0.0,102.0,102.0,1.0,76.0,102.0,102.0,1.5005600452423096,103.57824397087096,105.07880401611328,104.17432904243469,25.0,24.0,12.0,-1.0,-1.0
0.7211105929494964,3.278012817601924,1.0693809252565372,0.7659696349962142,0.06666666666666668,-2.4677845911184884,-2.2086318923453865,20.0,0.85,15,860,7,8520,5,76.0,0.0,82.0,0.0,66.0,0.6382269859313965,1.5001909732818606,4.424756145061571,1.0,1.0,109.0,109.0,0.0,82.0,109.0,102.0,1.4996678829193115,113.44379806518553,114.94346594810483,114.0820300579071,13.0,0.0,13.0,0.0,0.0
0.06769167965000103,0.7002517772906875,1.3799049015801592,0.3274115920958213,0.06666666666666668,-2.2086318923453865,0.6796531242894717,20.0,0.85,16,860,7,8520,5,82.0,0.0,76.0,0.0,65.0,0.5117161273956299,1.5007231235504153,4.28921898145192,0.0,0.0,109.0,109.0,0.0,76.0,109.0,102.0,1.4899749755859375,119.39336490631104,120.88333988189696,119.90508699417114,13.0,1.0,13.0,1.0,1.0
0.05385907748060202,0.7543880777829841,1.96893297782108,0.5883687651623122,0.06666666666666668,0.6796531242894717,1.2145449000380957,20.0,0.85,17,860,7,8520,5,76.0,1.0,76.0,3.0,68.0,0.7018940448760986,1.5007669925689697,6.2922198356763674,0.0,0.0,109.0,109.0,1.0,76.0,109.0,109.0,1.5001380443572998,125.19185495376587,126.69199299812315,125.89375495910643,13.0,2.0,13.0,2.0,2.0
0.04517303429340888,0.4199525788037301,1.9436766802354049,0.6880609885560176,0.06666666666666668,1.2145449000380957,1.5237241014316747,20.0,0.85,18,860,7,8520,5,76.0,1.0,76.0,3.0,71.0,0.5934939384460449,1.5002949237823486,5.299703384120909,0.0,0.0,109.0,109.0,1.0,76.0,109.0,109.0,1.4995450973510744,132.9990849494934,134.49863004684445,133.59258294105527,13.0,3.0,13.0,3.0,3.0
