trial, subj_id, LR_choice, reward,cumulative_reward, rt, total_trial_time, iti,id_choice, id_solution, id_choice_acc, cum_acc, stim_onset, stim_offset, abs_response_time
1.000000000000000000e+01,8.120000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.050000000000000000e+02,4.877006830065511167e-01,1.501010354026220739e+00,1.310660708447162870e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.090909090909090606e-01,3.359945080900797620e+01,3.509940154699143022e+01,3.408715293899876997e+01
1.100000000000000000e+01,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.060000000000000000e+02,6.661528609693050385e-01,1.500857025966979563e+00,1.405671230713436692e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.166666666666666297e-01,3.646606694196816534e+01,3.796602549898670986e+01,3.713222155399853364e+01
1.200000000000000000e+01,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.070000000000000000e+02,4.905705020064488053e-01,1.501069819030817598e+00,1.349392958002729292e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.230769230769231282e-01,3.943270984798436984e+01,4.093262926896568388e+01,3.992328170599648729e+01
1.300000000000000000e+01,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.080000000000000000e+02,4.980447909911163151e-01,1.501050859049428254e+00,1.355724461835465799e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.285714285714286031e-01,4.234930465999059379e+01,4.384926807397278026e+01,4.284735100297257304e+01
1.400000000000000000e+01,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.090000000000000000e+02,4.674226160277612507e-01,1.500968482054304332e+00,1.403967641846944892e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.333333333333333481e-01,4.526597514096647501e+01,4.676588142401305959e+01,4.573339934897376224e+01
1.500000000000000000e+01,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.100000000000000000e+02,5.019719809642992914e-01,1.500981453980784863e+00,1.241621165665197424e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.375000000000000000e-01,4.823254509200342000e+01,4.973248811799567193e+01,4.873451807600213215e+01
1.600000000000000000e+01,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.110000000000000000e+02,5.700457050115801394e-01,1.500882898981217295e+00,1.429029896331437843e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.411764705882352811e-01,5.103248632897157222e+01,5.253244795597856864e+01,5.160253376798937097e+01
1.700000000000000000e+01,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.120000000000000000e+02,4.368219260359182954e-01,1.501087191980332136e+00,1.279662156212149071e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.444444444444444198e-01,5.401576662895968184e+01,5.551573122298577800e+01,5.445258979796199128e+01
1.800000000000000000e+01,8.120000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.130000000000000000e+02,5.209144569816999137e-01,1.500956757052335888e+00,1.430202254571311782e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.473684210526315264e-01,5.686573539295932278e+01,5.836597971897572279e+01,5.738665122899692506e+01
1.900000000000000000e+01,8.120000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.140000000000000000e+02,6.859728840063326061e-01,1.500663645972963423e+00,1.164589372137826206e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.499999999999999556e-01,5.986572837695712224e+01,6.136562857800163329e+01,6.055170295096468180e+01
